,Image,TruePositives,FalseNegatives,FalsePositives,Percision,Recall,PreProcessTruePositives,PreProcessFalseNegatives,PreProcessFalsePositives,PreProcessPercision,PreProcessRecall
136,M142_1015935949_0030_0001_Back.jpg,0,0,6,0.0,,0,0,15,0.0,
137,M142_1015935949_0008_0025_Back.jpg,1,15,18,0.05263157894736842,0.0625,3,13,7,0.3,0.1875
138,M142_1015935949_0034_0078_Back.jpg,8,81,5,0.6153846153846154,0.0898876404494382,4,85,26,0.13333333333333333,0.0449438202247191
139,M142_1015935949_0014_0011_Back.jpg,0,19,1,0.0,0.0,9,10,10,0.47368421052631576,0.47368421052631576
140,M142_1015935949_0016_0043_Back.jpg,0,21,0,,0.0,4,17,5,0.4444444444444444,0.19047619047619047
141,M142_1015935949_0035_0006_Back.jpg,13,48,0,1.0,0.21311475409836064,18,43,49,0.26865671641791045,0.29508196721311475
142,M142_1015935949_0027_0026_Back.jpg,17,5,2,0.8947368421052632,0.7727272727272727,18,4,4,0.8181818181818182,0.8181818181818182
143,M142_1015935949_0038_0001_Back.jpg,0,7,37,0.0,0.0,0,7,0,,0.0
144,M142_1015935949_0033_0001_Back.jpg,0,0,95,0.0,,0,0,4,0.0,
145,M142_1015935949_0023_0017_Back.jpg,0,73,12,0.0,0.0,10,63,44,0.18518518518518517,0.136986301369863
146,M142_1015935949_0029_0017_Back.jpg,42,9,13,0.7636363636363637,0.8235294117647058,43,8,12,0.7818181818181819,0.8431372549019608
147,M142_1015935949_0008_0028_Back.jpg,2,37,257,0.007722007722007722,0.05128205128205128,1,38,114,0.008695652173913044,0.02564102564102564
148,M142_1015935949_0001_0045_Back.jpg,0,9,72,0.0,0.0,2,7,3,0.4,0.2222222222222222
149,M142_1015935949_0013_0008_Back.jpg,0,31,50,0.0,0.0,5,26,5,0.5,0.16129032258064516
150,M142_1015935949_0024_0010_Back.jpg,0,48,130,0.0,0.0,1,47,126,0.007874015748031496,0.020833333333333332
151,M142_1015935949_0025_0002_Back.jpg,1,43,264,0.0037735849056603774,0.022727272727272728,2,42,199,0.009950248756218905,0.045454545454545456
152,M142_1015935949_0005_0048_Back.jpg,8,12,104,0.07142857142857142,0.4,7,13,5,0.5833333333333334,0.35
153,M142_1015935949_0001_0011_Back.jpg,0,34,201,0.0,0.0,0,34,17,0.0,0.0
154,M142_1015935949_0014_0003_Back.jpg,0,0,1,0.0,,0,0,42,0.0,
155,M142_1015935949_0029_0031_Back.jpg,14,3,4,0.7777777777777778,0.8235294117647058,13,4,4,0.7647058823529411,0.7647058823529411
156,M142_1015935949_0034_0085_Back.jpg,3,19,109,0.026785714285714284,0.13636363636363635,3,19,29,0.09375,0.13636363636363635
157,M142_1015935949_0016_0048_Back.jpg,0,29,67,0.0,0.0,0,29,103,0.0,0.0
158,M142_1015935949_0034_0079_Back.jpg,5,13,16,0.23809523809523808,0.2777777777777778,6,12,6,0.5,0.3333333333333333
159,M142_1015935949_0014_0015_Back.jpg,1,45,19,0.05,0.021739130434782608,0,46,0,,0.0
160,M142_1015935949_0008_0012_Back.jpg,1,30,27,0.03571428571428571,0.03225806451612903,3,28,33,0.08333333333333333,0.0967741935483871
161,M142_1015935949_0029_0068_Back.jpg,0,0,133,0.0,,0,0,0,,
162,M142_1015935949_0027_0034_Back.jpg,0,18,56,0.0,0.0,0,18,1,0.0,0.0
163,M142_1015935949_0001_0057_Back.jpg,0,11,4,0.0,0.0,0,11,0,,0.0
164,M142_1015935949_0016_0035_Back.jpg,0,4,1,0.0,0.0,0,4,15,0.0,0.0
165,M142_1015935949_0001_0086_Back.jpg,0,6,42,0.0,0.0,0,6,7,0.0,0.0
166,M142_1015935949_0014_0030_Back.jpg,0,20,20,0.0,0.0,0,20,22,0.0,0.0
167,M142_1015935949_0016_0002_Back.jpg,1,67,60,0.01639344262295082,0.014705882352941176,0,68,2,0.0,0.0
168,M142_1015935949_0004_0024_Back.jpg,11,18,20,0.3548387096774194,0.3793103448275862,13,16,17,0.43333333333333335,0.4482758620689655
169,M142_1015935949_0023_0006_Back.jpg,29,51,158,0.15508021390374332,0.3625,36,44,55,0.3956043956043956,0.45
170,M142_1015935949_0004_0003_Back.jpg,10,22,14,0.4166666666666667,0.3125,8,24,30,0.21052631578947367,0.25
171,M142_1015935949_0024_0012_Back.jpg,0,12,7,0.0,0.0,0,12,0,,0.0
172,M142_1015935949_0031_0001_Back.jpg,0,0,96,0.0,,0,0,78,0.0,
173,M142_1015935949_0009_0002_Back.jpg,11,3,2,0.8461538461538461,0.7857142857142857,11,3,3,0.7857142857142857,0.7857142857142857
174,M142_1015935949_0023_0037_Back.jpg,0,17,57,0.0,0.0,2,15,20,0.09090909090909091,0.11764705882352941
175,M142_1015935949_0034_0024_Back.jpg,0,0,6,0.0,,0,0,27,0.0,
176,M142_1015935949_0026_0015_Back.jpg,0,13,0,,0.0,0,13,5,0.0,0.0
177,M142_1015935949_0034_0091_Back.jpg,0,7,27,0.0,0.0,1,6,1,0.5,0.14285714285714285
178,M142_1015935949_0026_0011_Back.jpg,0,20,0,,0.0,0,20,0,,0.0
179,M142_1015935949_0020_0004_Back.jpg,0,7,0,,0.0,0,7,7,0.0,0.0
180,M142_1015935949_0009_0015_Back.jpg,1,21,39,0.025,0.045454545454545456,5,17,11,0.3125,0.22727272727272727
181,M142_1015935949_0023_0035_Back.jpg,4,19,50,0.07407407407407407,0.17391304347826086,4,19,20,0.16666666666666666,0.17391304347826086
182,M142_1015935949_0036_0019_Back.jpg,0,24,91,0.0,0.0,1,23,86,0.011494252873563218,0.041666666666666664
183,M142_1015935949_0029_0057_Back.jpg,0,0,0,,,0,0,0,,
184,M142_1015935949_0001_0070_Back.jpg,0,17,3,0.0,0.0,0,17,17,0.0,0.0
185,M142_1015935949_0016_0016_Back.jpg,0,14,33,0.0,0.0,0,14,1,0.0,0.0
186,M142_1015935949_0016_0021_Back.jpg,0,15,11,0.0,0.0,0,15,18,0.0,0.0
