,Image,TruePositives,FalseNegatives,FalsePositives,Percision,Recall,PreProcessTruePositives,PreProcessFalseNegatives,PreProcessFalsePositives,PreProcessPercision,PreProcessRecall
184,M142_1015935949_0034_0078_Back.jpg,32,57,18,0.64,0.3595505617977528,32,57,18,0.64,0.3595505617977528
185,M142_1015935949_0034_0079_Back.jpg,1,17,3,0.25,0.05555555555555555,1,17,3,0.25,0.05555555555555555
186,M142_1015935949_0034_0085_Back.jpg,1,21,6,0.14285714285714285,0.045454545454545456,1,21,6,0.14285714285714285,0.045454545454545456
187,M142_1015935949_0034_0089_Back.jpg,1,12,3,0.25,0.07692307692307693,1,12,3,0.25,0.07692307692307693
188,M142_1015935949_0034_0091_Back.jpg,0,7,1,0.0,0.0,0,7,1,0.0,0.0
189,M142_1015935949_0035_0006_Back.jpg,10,51,14,0.4166666666666667,0.16393442622950818,10,51,14,0.4166666666666667,0.16393442622950818
190,M142_1015935949_0035_0001_Back.jpg,16,31,8,0.6666666666666666,0.3404255319148936,16,31,8,0.6666666666666666,0.3404255319148936
191,M142_1015935949_0036_0006_Back.jpg,0,3,1,0.0,0.0,0,3,1,0.0,0.0
192,M142_1015935949_0036_0004_Back.jpg,1,15,2,0.3333333333333333,0.0625,1,15,2,0.3333333333333333,0.0625
193,M142_1015935949_0036_0002_Back.jpg,0,28,2,0.0,0.0,0,28,2,0.0,0.0
194,M142_1015935949_0036_0009_Back.jpg,2,38,9,0.18181818181818182,0.05,2,38,9,0.18181818181818182,0.05
195,M142_1015935949_0036_0015_Back.jpg,1,18,5,0.16666666666666666,0.05263157894736842,1,18,5,0.16666666666666666,0.05263157894736842
196,M142_1015935949_0036_0008_Back.jpg,1,10,3,0.25,0.09090909090909091,1,10,3,0.25,0.09090909090909091
197,M142_1015935949_0038_0005_Back.jpg,0,9,2,0.0,0.0,0,9,2,0.0,0.0
198,M142_1015935949_0038_0001_Back.jpg,1,6,4,0.2,0.14285714285714285,1,6,4,0.2,0.14285714285714285
199,M142_1015935949_0036_0019_Back.jpg,10,14,4,0.7142857142857143,0.4166666666666667,10,14,4,0.7142857142857143,0.4166666666666667
